rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,competition,element,element_no,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,2.8,owg2026,FCSp3,5.0,0.0,,3.4,0.6,,1,,2526,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,3.9,owg2026,StSq4,6.0,0.0,,4.85,0.95,,1,,2526,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,17.93,owg2026,4Sq+2A+2A+SEQ,7.0,1.0,,17.1,-0.83,q,1,,2526,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,7.04,owg2026,3A<,8.0,1.0,,5.85,-1.19,<,1,,2526,-1.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,8.36,owg2026,3Lzq+2Lo,9.0,1.0,,7.18,-1.18,q,1,,2526,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-3.0,-2.0,-2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,3.5,owg2026,FCCoSp4,10.0,0.0,,3.95,0.45,,1,,2526,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,3.0,owg2026,ChSq1,11.0,0.0,,3.71,0.71,,1,,2526,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,3.5,owg2026,CCoSp4,12.0,0.0,,4.2,0.7,,1,,2526,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,,owg2026,,,,3.33,8.18,,,0,Composition,2526,8.25,8.25,7.5,8.5,8.0,7.75,8.0,8.5,8.5,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,,owg2026,,,,3.33,8.0,,,0,Presentation,2526,8.25,8.0,7.25,8.25,7.75,7.5,7.75,8.5,8.5,0,men,individual
4,Gumennik Petr,AIN,13,184.49,103.84,80.65,0.0,,owg2026,,,,3.33,8.04,,,0,Skating Skills,2526,8.0,8.0,7.5,8.25,8.0,8.25,7.5,8.25,8.75,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,9.7,owg2026,4S,1.0,0.0,,13.44,3.74,,1,,2526,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,9.5,owg2026,4T,2.0,0.0,,4.75,-4.75,F,1,,2526,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,10.8,owg2026,3Lz+3Lo,3.0,0.0,,12.57,1.77,,1,,2526,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,8.0,owg2026,3A,4.0,0.0,,10.06,2.06,,1,,2526,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,3.9,owg2026,StSq4,5.0,0.0,,5.4,1.5,,1,,2526,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,11.11,owg2026,3F+1Eu+3S,6.0,1.0,,12.62,1.51,,1,,2526,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,12.43,owg2026,3Aq+2A+SEQ,7.0,1.0,,12.09,-0.34,q,1,,2526,1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,-1.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,3.0,owg2026,CCoSp3,8.0,0.0,,3.9,0.9,,1,,2526,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,5.83,owg2026,3F,9.0,1.0,,7.12,1.29,,1,,2526,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,3.0,owg2026,ChSq1,10.0,0.0,,4.93,1.93,,1,,2526,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,3.2,owg2026,FCSp4,11.0,0.0,,3.98,0.78,,1,,2526,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,3.5,owg2026,FCCoSp4,12.0,0.0,,4.3,0.8,,1,,2526,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,,owg2026,,,,3.33,8.71,,,0,Composition,2526,8.75,8.0,8.5,8.75,8.5,8.5,9.0,9.0,9.0,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,,owg2026,,,,3.33,8.61,,,0,Presentation,2526,8.5,8.75,8.5,8.5,8.25,9.0,8.5,8.75,8.75,0,men,individual
5,Cha Junhwan,KOR,19,181.2,95.16,87.04,-1.0,,owg2026,,,,3.33,8.82,,,0,Skating Skills,2526,8.75,8.75,8.75,9.0,8.75,8.5,9.0,9.25,8.75,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,9.7,owg2026,4S,1.0,0.0,,7.34,-2.36,,1,,2526,-2.0,-2.0,-2.0,-3.0,-3.0,-2.0,-2.0,-3.0,-3.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,11.0,owg2026,4F,2.0,0.0,,5.5,-5.5,F,1,,2526,-5.0,-5.0,-5.0,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,11.3,owg2026,4T+1Eu+2S,3.0,0.0,,11.98,0.68,,1,,2526,0.0,1.0,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,11.3,owg2026,3A+2A+SEQ,4.0,0.0,,13.36,2.06,,1,,2526,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,3.0,owg2026,FCSSp4,5.0,0.0,,3.77,0.77,,1,,2526,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,10.45,owg2026,4T,6.0,1.0,,8.01,-2.44,,1,,2526,-3.0,-2.0,-3.0,-2.0,-3.0,-2.0,-3.0,-2.0,-3.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,11.22,owg2026,3F+3Lo,7.0,1.0,,12.05,0.83,,1,,2526,1.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,8.8,owg2026,3A,8.0,1.0,,11.2,2.4,,1,,2526,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,3.5,owg2026,CCoSp4,9.0,0.0,,4.6,1.1,,1,,2526,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,3.0,owg2026,ChSq1,10.0,0.0,,4.14,1.14,,1,,2526,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,3.9,owg2026,StSq4,11.0,0.0,,5.35,1.45,,1,,2526,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,3.5,owg2026,FCCoSp4,12.0,0.0,,4.85,1.35,,1,,2526,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,,owg2026,,,,3.33,8.68,,,0,Composition,2526,8.75,8.5,9.25,8.75,8.5,8.5,8.75,8.75,8.75,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,,owg2026,,,,3.33,8.39,,,0,Presentation,2526,8.0,8.25,9.25,8.5,8.5,8.25,8.0,8.75,8.5,0,men,individual
6,Kagiyama Yuma,JPN,23,176.99,92.15,85.84,-1.0,,owg2026,,,,3.33,8.71,,,0,Skating Skills,2526,8.5,8.5,9.25,8.75,8.75,8.75,8.75,8.75,8.75,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,11.5,owg2026,4Lz,1.0,0.0,,5.75,-5.75,F,1,,2526,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,9.5,owg2026,4T,2.0,0.0,,11.54,2.04,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,13.9,owg2026,4S+3T,3.0,0.0,,15.56,1.66,,1,,2526,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,8.0,owg2026,3A,4.0,0.0,,9.14,1.14,,1,,2526,2.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,2.8,owg2026,FCSp3,5.0,0.0,,3.2,0.4,,1,,2526,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,15.29,owg2026,4S+3T,6.0,1.0,,17.51,2.22,,1,,2526,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,13.09,owg2026,3F+2A+2Aq+SEQ,7.0,1.0,,12.56,-0.53,q,1,,2526,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,6.49,owg2026,3Lz,8.0,1.0,,7.67,1.18,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,2.6,owg2026,CSSp3,9.0,0.0,,3.08,0.48,,1,,2526,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,3.3,owg2026,StSq3,10.0,0.0,,4.01,0.71,,1,,2526,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,3.0,owg2026,ChSq1,11.0,0.0,,4.0,1.0,,1,,2526,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,1.88,owg2026,CCoSp2V,12.0,0.0,,2.21,0.33,,1,,2526,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,,owg2026,,,,3.33,8.11,,,0,Composition,2526,8.5,7.75,7.5,7.75,7.75,8.0,8.5,8.5,8.5,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,,owg2026,,,,3.33,7.96,,,0,Presentation,2526,8.5,7.5,7.25,7.75,8.0,7.75,8.25,8.25,8.25,0,men,individual
7,Egadze Nika,GEO,10,175.16,96.23,79.93,-1.0,,owg2026,,,,3.33,7.93,,,0,Skating Skills,2526,8.25,7.75,7.5,8.0,8.25,7.5,7.5,8.25,8.5,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,11.5,owg2026,4Lzq,1.0,0.0,,8.54,-2.96,q,1,,2526,-3.0,-2.0,-1.0,-3.0,-2.0,-3.0,-2.0,-3.0,-3.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,10.5,owg2026,4Lo,2.0,0.0,,12.6,2.1,,1,,2526,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,9.7,owg2026,4S,3.0,0.0,,12.06,2.36,,1,,2526,3.0,3.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,12.2,owg2026,3Aq+3T,4.0,0.0,,10.49,-1.71,q,1,,2526,-3.0,-2.0,-1.0,-2.0,-2.0,-3.0,-2.0,-2.0,-2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,3.0,owg2026,ChSq1,5.0,0.0,,4.21,1.21,,1,,2526,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,16.06,owg2026,3A+2A+2A+SEQ,6.0,1.0,,17.89,1.83,,1,,2526,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,6.49,owg2026,3Lz,7.0,1.0,,3.88,-2.61,,1,,2526,-5.0,-4.0,-3.0,-5.0,-4.0,-4.0,-5.0,-5.0,-4.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,2.6,owg2026,CSSp3,8.0,0.0,,3.01,0.41,,1,,2526,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,2.6,owg2026,StSq2,9.0,0.0,,3.19,0.59,,1,,2526,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,6.82,owg2026,3Lo+2T,10.0,1.0,,6.68,-0.14,,1,,2526,-1.0,0.0,2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,2.25,owg2026,CCoSp3V,11.0,0.0,,2.73,0.48,,1,,2526,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,3.0,owg2026,FCCoSp3,12.0,0.0,,3.51,0.51,,1,,2526,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,,owg2026,,,,3.33,8.32,,,0,Composition,2526,8.0,8.5,8.75,7.75,8.75,8.25,8.0,8.5,8.25,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,,owg2026,,,,3.33,8.14,,,0,Presentation,2526,8.0,8.25,8.5,7.75,8.5,8.0,8.0,8.25,8.0,0,men,individual
8,Grassl Daniel,ITA,21,170.25,88.79,81.46,0.0,,owg2026,,,,3.33,8.0,,,0,Skating Skills,2526,7.75,7.75,8.5,8.25,8.75,7.75,7.75,8.0,8.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,9.5,owg2026,4T,1.0,0.0,,11.94,2.44,,1,,2526,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,6.65,owg2026,4T+REP,2.0,0.0,,3.53,-3.12,,1,,2526,-3.0,-4.0,-3.0,-4.0,-3.0,-3.0,-3.0,-4.0,-3.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,4.9,owg2026,3Lo,3.0,0.0,,6.02,1.12,,1,,2526,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,8.0,owg2026,3A,4.0,0.0,,10.17,2.17,,1,,2526,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,2.8,owg2026,CCSp3,5.0,0.0,,3.52,0.72,,1,,2526,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,3.9,owg2026,StSq4,6.0,0.0,,4.9,1.0,,1,,2526,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,12.43,owg2026,3A+2A+SEQ,7.0,1.0,,14.03,1.6,,1,,2526,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,11.77,owg2026,3Lz+1Eu+3S,8.0,1.0,,13.03,1.26,,1,,2526,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,5.83,owg2026,3F,9.0,1.0,,6.28,0.45,,1,,2526,2.0,1.0,1.0,2.0,-1.0,0.0,1.0,0.0,1.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,2.6,owg2026,FSSp3,10.0,0.0,,3.19,0.59,,1,,2526,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,3.0,owg2026,ChSq1,11.0,0.0,,5.0,2.0,,1,,2526,4.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,3.5,owg2026,CCoSp4,12.0,0.0,,4.55,1.05,,1,,2526,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,,owg2026,,,,3.33,8.32,,,0,Composition,2526,8.5,7.75,8.25,8.5,8.75,8.0,8.0,8.5,8.5,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,,owg2026,,,,3.33,8.5,,,0,Presentation,2526,8.75,8.0,8.5,8.5,8.5,8.5,8.0,8.75,8.75,0,men,individual
9,Torgashev Andrew,USA,17,170.12,86.16,83.96,0.0,,owg2026,,,,3.33,8.39,,,0,Skating Skills,2526,8.5,8.25,8.25,8.5,8.5,8.5,8.5,8.25,8.25,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,10.5,owg2026,4Lo,1.0,0.0,,13.05,2.55,,1,,2526,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,9.7,owg2026,4S,2.0,0.0,,4.85,-4.85,F,1,,2526,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,13.7,owg2026,4T+3T,3.0,0.0,,13.29,-0.41,,1,,2526,-1.0,-1.0,0.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,3.2,owg2026,FCSp4,4.0,0.0,,3.06,-0.14,,1,,2526,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,0.0,0.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,3.3,owg2026,StSq3,5.0,0.0,,3.77,0.47,,1,,2526,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,9.5,owg2026,4T,6.0,0.0,,8.01,-1.49,,1,,2526,-1.0,-2.0,2.0,0.0,-1.0,-1.0,-3.0,-3.0,-3.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,15.18,owg2026,3A+1Eu+3F,7.0,1.0,,16.67,1.49,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,8.8,owg2026,3A,8.0,1.0,,9.14,0.34,,1,,2526,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,3.0,owg2026,ChSq1,9.0,0.0,,3.93,0.93,,1,,2526,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,9.02,owg2026,3Lo+2A+SEQ,10.0,1.0,,10.0,0.98,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,2.6,owg2026,CSSp3,11.0,0.0,,2.75,0.15,,1,,2526,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,3.5,owg2026,CCoSp4,12.0,0.0,,4.2,0.7,,1,,2526,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,,owg2026,,,,3.33,7.75,,,0,Composition,2526,8.25,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,,owg2026,,,,3.33,7.61,,,0,Presentation,2526,8.0,7.5,8.0,7.75,7.5,7.5,7.0,7.5,7.5,0,men,individual
10,Miura Kao,JPN,3,170.11,92.72,78.39,-1.0,,owg2026,,,,3.33,8.18,,,0,Skating Skills,2526,8.5,8.25,8.25,8.5,8.25,8.0,7.75,8.25,7.75,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,4.2,owg2026,3T,1.0,0.0,,4.02,-0.18,,1,,2526,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,9.5,owg2026,4T,2.0,0.0,,11.13,1.63,,1,,2526,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,11.3,owg2026,3A+2A+SEQ,3.0,0.0,,13.36,2.06,,1,,2526,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,4.9,owg2026,3Lo,4.0,0.0,,4.41,-0.49,,1,,2526,-2.0,-1.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,2.63,owg2026,FCCoSp4V,5.0,0.0,,3.2,0.57,,1,,2526,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,3.9,owg2026,StSq4,6.0,0.0,,5.07,1.17,,1,,2526,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,14.08,owg2026,3A+1Eu+3S,7.0,1.0,,16.59,2.51,,1,,2526,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,5.83,owg2026,3F!,8.0,1.0,,4.85,-0.98,!,1,,2526,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,6.49,owg2026,3Lz,9.0,1.0,,5.48,-1.01,,1,,2526,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,3.2,owg2026,CCSp4,10.0,0.0,,3.93,0.73,,1,,2526,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,3.5,owg2026,CCoSp4,11.0,0.0,,4.2,0.7,,1,,2526,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,3.0,owg2026,ChSq1,12.0,0.0,,5.21,2.21,,1,,2526,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,,owg2026,,,,3.33,8.71,,,0,Composition,2526,8.75,8.75,8.75,9.0,8.75,8.5,8.25,8.75,8.75,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,,owg2026,,,,3.33,8.57,,,0,Presentation,2526,8.75,8.25,8.75,8.5,8.5,8.75,8.0,8.5,8.75,0,men,individual
11,Aymoz Kevin,FRA,18,167.3,81.45,85.85,0.0,,owg2026,,,,3.33,8.5,,,0,Skating Skills,2526,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.25,0,men,individual
12,Siao Him Fa Adam,FRA,22,166.72,84.97,82.75,-1.0,9.5,owg2026,4T,2.0,0.0,,5.7,-3.8,,1,,2526,-4.0,-4.0,-4.0,-5.0,-4.0,-4.0,-4.0,-4.0,-3.0,0,men,individual
12,Siao Him Fa Adam,FRA,22,166.72,84.97,82.75,-1.0,13.7,owg2026,4T+3T,3.0,0.0,,15.74,2.04,,1,,2526,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,0,men,individual
12,Siao Him Fa Adam,FRA,22,166.72,84.97,82.75,-1.0,9.7,owg2026,4S,4.0,0.0,,5.13,-4.57,,1,,2526,-5.0,-4.0,-4.0,-5.0,-4.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
